,stop_from_name,stop_to_name,route_type,weight
1565493,Černouček,Jeviněves,3,186
1565531,Černouček,Ledčice,3,156
1565567,Černouček,Mnetěš,3,156
1565599,Černošice,Kazín hradlo,2,493
1565700,Černošice,Kosoř hradlo,2,498
1565806,"Černošice,Centrum Vráž","Černošice,Kladenská",3,160
1565840,"Černošice,Centrum Vráž","Černošice,U Transformátoru",3,163
1565874,"Černošice,Husova","Černošice,Škola",3,15
1565877,"Černošice,Javorová","Černošice,Na Ladech",3,45
1565886,"Černošice,Karlštejnská","Třebotov,Solopisky",3,107
1565911,"Černošice,Karlštejnská","Černošice,Žel.zast.",3,132
1565940,"Černošice,Kladenská","Černošice,Centrum Vráž",3,163
1565974,"Černošice,Kladenská","Černošice,Husova",3,15
1565977,"Černošice,Kladenská","Černošice,Žel.zast.",3,160
1566011,"Černošice,Komenského","Černošice,Kladenská",3,5
1566012,"Černošice,Masopustní náměstí","Černošice,Mokropsy žel.zast.",3,45
1566021,"Černošice,Mokropsy žel.zast.","Černošice,Škola",3,45
1566030,"Černošice,Na Ladech","Černošice,U Kamenného mostu",3,45
1566039,"Černošice,U Kamenného mostu","Černošice,Masopustní náměstí",3,45
1566048,"Černošice,U Transformátoru","Dobřichovice,Randova",3,114
1566071,"Černošice,U Transformátoru","Černošice,Centrum Vráž",3,115
1566096,"Černošice,U Transformátoru","Černošice,Javorová",3,45
1566105,"Černošice,U Vodárny",Zdická,3,24
1566109,"Černošice,U Vodárny","Černošice,Žel.zast.",3,31
1566114,"Černošice,Škola","Černošice,Centrum Vráž",3,45
1566123,"Černošice,Škola","Černošice,Žel.zast.",3,10
1566125,"Černošice,Žel.zast.","Černošice,Karlštejnská",3,107
1566150,"Černošice,Žel.zast.","Černošice,Kladenská",3,173
1566186,"Černošice,Žel.zast.","Černošice,Komenského",3,5
1566187,"Černošice,Žel.zast.","Černošice,U Vodárny",3,24
1566191,Černošice-Mokropsy,Horní Mokropsy hradlo,2,493
1566292,Černošice-Mokropsy,Kazín hradlo,2,498
1566398,Černuc,"Hospozín,nad kostelem",3,73
1566415,Černuc,"Velvary,nám.",3,73
1566432,Černuc,"Černuc,škola",3,5
1566433,"Černuc,Bratkovice","Hobšovice,Skůry",3,50
1566443,"Černuc,Bratkovice","Černuc,Nabdín",3,45
1566452,"Černuc,Miletice",Loucká,3,45
1566461,"Černuc,Miletice","Velvary,Na Šibenici",3,50
1566471,"Černuc,Nabdín","Černuc,Bratkovice",3,50
1566481,"Černuc,Nabdín","Černuc,u křížku",3,45
1566490,"Černuc,u křížku","Velvary,nám.",3,45
1566499,"Černuc,u křížku","Černuc,Nabdín",3,50
1566509,"Černuc,škola",Loucká,3,5
1566510,"Černuc,škola",Černuc,3,5
1566511,Černé Voděrady,"Černé Voděrady,ObÚ",3,76
1566530,"Černé Voděrady,Chaloupky","Jevany,Penčice",3,56
1566545,"Černé Voděrady,Chaloupky","Černé Voděrady,ObÚ",3,61
1566560,"Černé Voděrady,ObÚ","Zvánovice,Kádov",3,20
1566564,"Černé Voděrady,ObÚ",Černé Voděrady,3,81
1566583,"Černé Voděrady,ObÚ","Černé Voděrady,Chaloupky",3,56
1566598,Černíky,Kounice,3,25
1566603,Černíky,Vykáň,3,98
1566626,Černíky,"Český Brod,Štolmíř",3,70
1566643,Černínova,Lukášova,3,3253
1567433,Černínova,Ohrada,3,3186
1568216,Černíny,"Černíny,Zavadilka",3,50
1568226,Černíny,Červené Janovice,2,83
1568243,Černíny,Štipoklasy,2,83
1568257,Černíny,Štipoklasy,3,50
1568267,"Černíny,Bahno","Křesetice,Bykáň",3,30
1568273,"Černíny,Bahno",Opatovice I,3,55
1568284,"Černíny,Bahno","Černíny,Zavadilka",3,25
1568289,"Černíny,Zavadilka",Opatovice I,3,25
1568294,"Černíny,Zavadilka",Černíny,3,50
1568304,"Černíny,Zavadilka","Černíny,Bahno",3,25
1568309,Černý Most,"Benátky n.Jiz.,aut.st.",3,34
1568317,Černý Most,"Brandýs n.L.-St.Bol.,Na Panském",3,95
1568336,Černý Most,Breitcetlova,3,1162
1568609,Černý Most,Chvaly,3,3333
1569413,Černý Most,"Mladá Boleslav,Jičínská",3,111
1569436,Černý Most,"Mladá Boleslav,aut.st.",3,233
1569503,Černý Most,Obchodní centrum Černý Most,3,1519
1569868,Černý Most,Poliklinika Černý Most,3,1290
1570183,Černý Most,Radonice,3,52
1570198,Černý Most,"Radonice,Penny Market",3,143
1570232,Černý Most,Rajská zahrada,1,1736
1570702,Černý Most,"Turnov,Terminál u žel.st.",3,7
1570704,Černý Most,Tuřice,3,212
1570758,Černý Most,"Zápy,Tesco Brandýs n.L.",3,135
1570785,Černý kůň,Belárie,0,2870
1571466,Černý kůň,Belárie,3,188
1571584,Černý kůň,Nádraží Braník,3,1951
1571850,Černý kůň,Nádraží Braník,0,2934
1572834,Černý kůň,U Belárie,3,707
1573005,Černý kůň,V Mokřinách,3,1049
1573267,Černý vrch,Mrázovka,3,196
1573299,Černý vrch,U Zvonu,3,196
1573331,Čertousy,Bártlova,3,248
1573391,Čertousy,Na Kovárně,3,5
1573392,Čertousy,"Zeleneč,Žel.zast.",3,162
1573429,Čertův vršek,Bulovka,3,938
1573662,Čertův vršek,Madlina,3,962
1573895,Červená Řečice,"Křelovice,záv.Červená Řečice",3,33
